tail_number,aircraft_type,manufacturer,in_service_date,fleet_status
PP-001,A320-200,Airbus,2020-02-02,active
PP-002,A320-200,Airbus,2020-10-09,active
PP-003,A320-200,Airbus,2020-08-26,active
PP-004,A320-200,Airbus,2020-06-09,active
PP-005,A320-200,Airbus,2020-06-07,active
PP-006,A320-200,Airbus,2020-11-09,active
PP-007,A320-200,Airbus,2020-02-01,active
PP-008,A320-200,Airbus,2020-09-11,active
PP-009,A320-200,Airbus,2020-03-14,active
PP-010,A320-200,Airbus,2020-02-04,active
PP-011,A320-200,Airbus,2020-07-11,active
PP-012,A320-200,Airbus,2020-12-22,active
PP-013,A320-200,Airbus,2020-09-25,active
PP-014,A320-200,Airbus,2020-10-04,active
PP-015,A320-200,Airbus,2020-09-18,active
PP-016,A320-200,Airbus,2020-10-13,active
PP-017,A320-200,Airbus,2020-07-06,active
PP-018,A320-200,Airbus,2020-02-16,active
PP-019,A320-200,Airbus,2020-11-02,active
PP-020,A320-200,Airbus,2020-06-13,active
PP-021,B737-800,Boeing,2020-07-01,active
PP-022,B737-800,Boeing,2020-05-15,active
PP-023,B737-800,Boeing,2020-03-07,active
PP-024,B737-800,Boeing,2020-12-04,active
PP-025,B737-800,Boeing,2020-10-12,active
PP-026,B737-800,Boeing,2020-08-23,active
PP-027,B737-800,Boeing,2020-05-26,active
PP-028,B737-800,Boeing,2020-10-27,active
PP-029,B737-800,Boeing,2020-07-18,active
PP-030,B737-800,Boeing,2020-06-10,active
PP-031,B737-800,Boeing,2020-06-13,active
PP-032,B737-800,Boeing,2020-03-23,active
PP-033,B737-800,Boeing,2020-02-03,active
PP-034,B737-800,Boeing,2020-07-21,active
PP-035,B737-800,Boeing,2020-11-20,active
PP-036,B737-800,Boeing,2020-01-24,active
PP-037,B737-800,Boeing,2020-11-09,active
PP-038,B737-800,Boeing,2020-10-29,active
PP-039,B737-800,Boeing,2020-04-11,active
PP-040,B737-800,Boeing,2020-08-18,active
PP-041,E190,Embraer,2020-03-01,active
PP-042,E190,Embraer,2020-10-03,active
PP-043,E190,Embraer,2020-09-12,active
PP-044,E190,Embraer,2020-05-09,active
