event_id,tail_number,component_code,base_code,event_type,failure_mode,severity,flight_hours_at_failure,failed_at,repaired_at,labor_cost,parts_cost
1,PP-041,GEN,MIA,failure,winding short,minor,647.5,2020-05-10 02:09:41.443216295,2020-05-10 09:35:40.015559884,1067.22,15811.15
2,PP-009,CAB-PRESS,JNB,failure,software fault,major,207.3,2020-05-15 16:04:03.985764959,2020-05-15 20:02:17.599977933,541.67,8513.36
3,PP-033,NLG-STRUT,MIA,failure,corrosion,minor,762.2,2020-05-27 13:01:37.868205053,2020-05-28 04:59:02.363829501,2250.7,7277.33
4,PP-010,BATT,MIA,failure,thermal runaway,minor,805.6,2020-07-05 19:12:06.779110311,2020-07-05 22:34:49.110137055,540.46,5859.93
5,PP-007,BRAKE-ASM,MIA,failure,sensor fault,minor,1402.1,2020-07-14 02:14:34.769668038,2020-07-14 13:43:27.049760468,1631.26,5959.85
6,PP-023,APU-START,JNB,failure,connector corrosion,minor,893.8,2020-07-15 20:02:33.984447844,2020-07-16 03:46:25.620128758,1239.08,11566.79
7,PP-036,AIL-ACT,GRU,scheduled,,,,2020-07-22 06:11:09.229424016,2020-07-22 07:07:58.117911042,142.04,426.65
8,PP-036,HYD-PUMP,GRU,scheduled,,,,2020-07-22 06:24:47.391059104,2020-07-22 07:58:09.721744779,233.43,664.54
9,PP-036,ENG-CORE,GRU,scheduled,,,,2020-07-22 06:30:37.993386070,2020-07-22 08:05:19.458075825,236.73,31695.02
10,PP-036,BRAKE-ASM,GRU,scheduled,,,,2020-07-22 06:43:59.008059775,2020-07-22 08:19:37.869731170,239.12,581.78
11,PP-036,BATT,GRU,scheduled,,,,2020-07-22 06:44:51.700546543,2020-07-22 07:37:31.671075355,131.67,128.47
12,PP-036,NLG-STRUT,GRU,scheduled,,,,2020-07-22 07:05:26.955110239,2020-07-22 07:56:59.793412219,128.87,264.79
13,PP-036,WING-SENS,GRU,scheduled,,,,2020-07-22 07:06:02.072983441,2020-07-22 08:23:52.445046468,194.6,121.01
