tail_number,flight_date,flight_hours,flight_cycles
PP-001,2020-02-02,8.65,5
PP-001,2020-02-03,8.32,5
PP-001,2020-02-04,8.41,5
PP-001,2020-02-05,9.47,6
PP-001,2020-02-06,9.27,6
PP-001,2020-02-07,9.33,6
PP-001,2020-02-08,9.35,6
PP-001,2020-02-09,11.4,7
PP-001,2020-02-10,8.35,5
PP-001,2020-02-11,8.22,5
PP-001,2020-02-12,7.86,5
PP-001,2020-02-13,9.57,6
PP-001,2020-02-14,10.19,6
PP-001,2020-02-15,8.7,5
PP-001,2020-02-16,7.83,5
PP-001,2020-02-17,7.84,5
PP-001,2020-02-18,9.61,6
PP-001,2020-02-19,9.73,6
PP-001,2020-02-20,9.49,6
PP-001,2020-02-21,8.04,5
PP-001,2020-02-22,9.11,6
PP-001,2020-02-23,8.97,6
PP-001,2020-02-24,9.1,6
PP-001,2020-02-25,9.88,6
PP-001,2020-02-26,9.1,6
PP-001,2020-02-27,9.65,6
PP-001,2020-02-28,8.91,6
PP-001,2020-02-29,9.18,6
PP-001,2020-03-01,9.59,6
PP-001,2020-03-02,7.09,4
PP-001,2020-03-03,8.45,5
PP-001,2020-03-04,8.27,5
PP-001,2020-03-05,8.07,5
PP-001,2020-03-06,8.5,5
PP-001,2020-03-07,10.63,7
PP-001,2020-03-08,7.79,5
PP-001,2020-03-09,10.0,6
PP-001,2020-03-10,6.81,4
PP-001,2020-03-11,8.43,5
PP-001,2020-03-12,9.03,6
PP-001,2020-03-13,9.54,6
PP-001,2020-03-14,9.69,6
PP-001,2020-03-15,0.0,0
PP-001,2020-03-16,8.42,5
PP-001,2020-03-17,8.28,5
PP-001,2020-03-18,9.86,6
PP-001,2020-03-19,8.6,5
PP-001,2020-03-20,7.3,5
PP-001,2020-03-21,7.47,5
PP-001,2020-03-22,7.73,5
PP-001,2020-03-23,9.43,6
PP-001,2020-03-24,9.0,6
PP-001,2020-03-25,9.66,6
PP-001,2020-03-26,8.32,5
PP-001,2020-03-27,9.02,6
PP-001,2020-03-28,9.58,6
PP-001,2020-03-29,8.46,5
PP-001,2020-03-30,9.38,6
PP-001,2020-03-31,8.04,5
PP-001,2020-04-01,8.4,5
PP-001,2020-04-02,8.38,5
PP-001,2020-04-03,7.4,5
PP-001,2020-04-04,0.0,0
PP-001,2020-04-05,8.27,5
PP-001,2020-04-06,8.85,6
PP-001,2020-04-07,0.0,0
PP-001,2020-04-08,9.37,6
PP-001,2020-04-09,9.63,6
PP-001,2020-04-10,8.72,5
PP-001,2020-04-11,8.33,5
PP-001,2020-04-12,8.74,5
PP-001,2020-04-13,6.81,4
PP-001,2020-04-14,7.1,4
PP-001,2020-04-15,7.25,5
PP-001,2020-04-16,7.64,5
PP-001,2020-04-17,9.31,6
PP-001,2020-04-18,7.75,5
PP-001,2020-04-19,8.38,5
PP-001,2020-04-20,10.39,7
PP-001,2020-04-21,8.41,5
PP-001,2020-04-22,9.72,6
PP-001,2020-04-23,7.71,5
PP-001,2020-04-24,8.59,5
PP-001,2020-04-25,7.69,5
PP-001,2020-04-26,8.43,5
PP-001,2020-04-27,9.84,6
PP-001,2020-04-28,6.76,4
PP-001,2020-04-29,0.0,0
PP-001,2020-04-30,9.12,6
PP-001,2020-05-01,8.12,5
PP-001,2020-05-02,7.1,4
PP-001,2020-05-03,8.92,6
PP-001,2020-05-04,8.2,5
PP-001,2020-05-05,9.11,6
PP-001,2020-05-06,8.86,6
PP-001,2020-05-07,10.76,7
PP-001,2020-05-08,8.55,5
PP-001,2020-05-09,7.61,5
PP-001,2020-05-10,9.05,6
PP-001,2020-05-11,9.1,6
PP-001,2020-05-12,10.46,7
PP-001,2020-05-13,9.84,6
PP-001,2020-05-14,9.26,6
PP-001,2020-05-15,10.59,7
PP-001,2020-05-16,7.41,5
PP-001,2020-05-17,8.07,5
PP-001,2020-05-18,7.72,5
PP-001,2020-05-19,8.37,5
PP-001,2020-05-20,7.18,5
PP-001,2020-05-21,9.6,6
PP-001,2020-05-22,8.57,5
PP-001,2020-05-23,7.07,4
PP-001,2020-05-24,7.62,5
PP-001,2020-05-25,9.21,6
PP-001,2020-05-26,9.84,6
PP-001,2020-05-27,11.23,7
PP-001,2020-05-28,0.0,0
PP-001,2020-05-29,9.33,6
PP-001,2020-05-30,7.65,5
PP-001,2020-05-31,6.28,4
PP-001,2020-06-01,9.16,6
PP-001,2020-06-02,7.86,5
PP-001,2020-06-03,8.34,5
PP-001,2020-06-04,8.1,5
PP-001,2020-06-05,8.66,5
PP-001,2020-06-06,10.11,6
PP-001,2020-06-07,9.02,6
PP-001,2020-06-08,8.64,5
PP-001,2020-06-09,7.59,5
PP-001,2020-06-10,6.82,4
PP-001,2020-06-11,8.25,5
PP-001,2020-06-12,8.77,6
PP-001,2020-06-13,10.96,7
PP-001,2020-06-14,8.99,6
PP-001,2020-06-15,10.01,6
PP-001,2020-06-16,8.23,5
PP-001,2020-06-17,7.41,5
PP-001,2020-06-18,7.68,5
PP-001,2020-06-19,7.96,5
PP-001,2020-06-20,11.39,7
PP-001,2020-06-21,7.85,5
PP-001,2020-06-22,9.84,6
PP-001,2020-06-23,7.75,5
PP-001,2020-06-24,9.95,6
PP-001,2020-06-25,9.3,6
PP-001,2020-06-26,8.65,5
PP-001,2020-06-27,8.78,6
PP-001,2020-06-28,8.05,5
PP-001,2020-06-29,9.37,6
PP-001,2020-06-30,8.29,5
PP-001,2020-07-01,0.0,0
PP-001,2020-07-02,7.3,5
PP-001,2020-07-03,9.04,6
PP-001,2020-07-04,10.73,7
PP-001,2020-07-05,9.03,6
PP-001,2020-07-06,8.69,5
PP-001,2020-07-07,9.18,6
PP-001,2020-07-08,10.4,7
PP-001,2020-07-09,9.1,6
PP-001,2020-07-10,8.34,5
PP-001,2020-07-11,0.0,0
PP-001,2020-07-12,9.35,6
PP-001,2020-07-13,10.68,7
PP-001,2020-07-14,9.05,6
PP-001,2020-07-15,7.36,5
PP-001,2020-07-16,7.19,5
PP-001,2020-07-17,10.81,7
PP-001,2020-07-18,10.9,7
PP-001,2020-07-19,8.62,5
PP-001,2020-07-20,8.37,5
PP-001,2020-07-21,10.59,7
PP-001,2020-07-22,7.51,5
PP-001,2020-07-23,7.76,5
PP-001,2020-07-24,9.61,6
PP-001,2020-07-25,8.36,5
PP-001,2020-07-26,8.83,6
PP-001,2020-07-27,8.64,5
PP-001,2020-07-28,9.24,6
PP-001,2020-07-29,10.52,7
PP-001,2020-07-30,8.94,6
PP-001,2020-07-31,9.61,6
PP-001,2020-08-01,6.37,4
PP-001,2020-08-02,8.78,6
PP-001,2020-08-03,7.82,5
PP-001,2020-08-04,7.37,5
PP-001,2020-08-05,7.78,5
PP-001,2020-08-06,8.43,5
PP-001,2020-08-07,9.93,6
PP-001,2020-08-08,7.24,5
PP-001,2020-08-09,8.87,6
PP-001,2020-08-10,8.25,5
PP-001,2020-08-11,8.44,5
PP-001,2020-08-12,10.04,6
PP-001,2020-08-13,9.48,6
PP-001,2020-08-14,10.44,7
PP-001,2020-08-15,8.65,5
PP-001,2020-08-16,8.0,5
PP-001,2020-08-17,8.57,5
PP-001,2020-08-18,9.12,6
PP-001,2020-08-19,9.05,6
PP-001,2020-08-20,7.53,5
PP-001,2020-08-21,8.94,6
